VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,GrossProfit,GrossMarginPct,SalesToPurchaseRatio,TotalBeginInventory,TotalEndInventory,AvgInventory,InventoryTurnoverRatio
516,"BANFI PRODUCTS CORP        ",25751,"Riunite Peach Moscato",6,40.80,0.00,6,59.94,1.35,19.14,31.93,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",25984,"C Y Toro Casa Diablo Svgn Bl",2412,14182.56,22422.53,2291,21481.09,254.91,7298.53,33.98,0.95,589,710,649.5000,3.53
516,"BANFI PRODUCTS CORP        ",25985,"C Y Toro Casa Diablo Merlot",1385,9224.10,11283.08,1191,11893.09,132.37,2668.99,22.44,0.86,336,530,433.0000,2.75
516,"BANFI PRODUCTS CORP        ",26066,"Bell'Agio Rosso Dolce",2112,18289.92,15693.85,1252,11774.48,140.05,-6515.44,-55.34,0.59,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",26069,"Sartori Bardolino Chiaretto",72,762.48,222.33,72,1151.28,8.08,388.80,33.77,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",26351,"Cella Lambrusco",6,46.44,106.04,6,71.94,1.35,25.50,35.45,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",28238,"Banfi Pnt Grigio Rime",816,4855.20,8872.55,822,7485.78,91.35,2630.58,35.14,1.01,263,257,260.0000,3.16
516,"BANFI PRODUCTS CORP        ",29650,"C Y Toro Frontera Shiraz",698,4271.76,12190.59,687,6523.13,152.90,2251.37,34.51,0.98,141,152,146.5000,4.69
516,"BANFI PRODUCTS CORP        ",31200,"Banfi Rosso di Montalcino",2519,30202.81,24203.82,2438,47286.62,270.79,17083.81,36.13,0.97,576,657,616.5000,3.95
516,"BANFI PRODUCTS CORP        ",31346,"Florio Dry Marsala Italy",899,6724.52,9031.74,788,8660.12,86.93,1935.60,22.35,0.88,94,205,149.5000,5.27
516,"BANFI PRODUCTS CORP        ",31347,"Florio Sweet Marsala Italy",1277,9053.93,11768.71,1161,12759.39,128.58,3705.46,29.04,0.91,112,228,170.0000,6.83
516,"BANFI PRODUCTS CORP        ",34635,"Riunite Lambrusco Rose",1137,6014.73,17546.11,1176,10190.24,262.62,4175.51,40.98,1.03,133,94,113.5000,10.36
516,"BANFI PRODUCTS CORP        ",34893,"Banfi Rosa Regale",48,278.40,309.08,18,187.82,1.07,-90.58,-48.23,0.38,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",37433,"C Y Toro Casillero Carmenere",9565,41320.80,54582.78,9242,83915.46,1031.06,42594.66,50.76,0.97,1479,1802,1640.5000,5.63
516,"BANFI PRODUCTS CORP        ",37735,"Walnut Crest Vnto Pnt Grigio",1722,13052.76,33715.55,1692,19403.08,377.90,6350.32,32.73,0.98,393,423,408.0000,4.15
516,"BANFI PRODUCTS CORP        ",37921,"C Y Toro Carmenere Terrunyo",1,14.47,109.58,8,175.92,0.89,161.45,91.77,8.00,7,0,3.5000,2.29
516,"BANFI PRODUCTS CORP        ",37923,"Five Rivers Cab Svgn",652,4844.36,5702.09,722,8571.78,79.88,3727.42,43.48,1.11,535,465,500.0000,1.44
516,"BANFI PRODUCTS CORP        ",37924,"Five Rivers Chard",24,206.40,226.31,2,25.98,0.22,-180.42,-694.46,0.08,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",37926,"Five Rivers Pnt Nr",3136,25244.80,30689.82,3064,36610.36,342.72,11365.56,31.04,0.98,468,540,504.0000,6.08
516,"BANFI PRODUCTS CORP        ",40666,"Bolla Chianti",12,82.68,429.20,12,119.88,1.35,37.20,31.03,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",40667,"Bolla Chianti",1891,16262.60,25498.50,1616,20217.84,360.56,3955.24,19.56,0.85,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",41827,"Banfi Chianti Clsc Tuscany",2556,20856.96,26571.98,2465,32726.35,273.93,11869.39,36.27,0.96,600,691,645.5000,3.82
516,"BANFI PRODUCTS CORP        ",43798,"Trivento Select Mendz Malbec",3244,20923.80,26552.14,3367,35550.83,374.65,14627.03,41.14,1.04,731,608,669.5000,5.03
516,"BANFI PRODUCTS CORP        ",43799,"Trivento Golden RSV Malbec",12,61.08,427.57,12,93.48,1.36,32.40,34.66,1.00,NULL,NULL,NULL,NULL
516,"BANFI PRODUCTS CORP        ",43801,"C Y Toro Frontera Cab Svgn",1406,8211.04,25310.81,1384,13222.66,309.20,5011.62,37.90,0.98,194,216,205.0000,6.75
516,"BANFI PRODUCTS CORP        ",43803,"Banfi Rosa Regale",326,1010.60,1092.83,330,1481.70,9.54,471.10,31.79,1.01,65,61,63.0000,5.24
516,"BANFI PRODUCTS CORP        ",43819,"Little Black Dress Chard",36,208.80,226.31,15,136.85,1.67,-71.95,-52.58,0.42,NULL,NULL,NULL,NULL
